[2026-07-04T14:34:48.366+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-07-04T14:34:48.425+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.load_snowflake scheduled__2026-07-04T14:28:00+00:00 [queued]>
[2026-07-04T14:34:48.438+0000] {taskinstance.py:2076} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: minio_to_snowflake_ecommerce.load_snowflake scheduled__2026-07-04T14:28:00+00:00 [queued]>
[2026-07-04T14:34:48.440+0000] {taskinstance.py:2306} INFO - Starting attempt 1 of 2
[2026-07-04T14:34:57.040+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119263543.parquet -> @customers stage
[2026-07-04T14:34:57.545+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119390209.parquet -> @customers stage
[2026-07-04T14:34:57.955+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119463358.parquet -> @customers stage
[2026-07-04T14:34:58.366+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119548561.parquet -> @customers stage
[2026-07-04T14:34:58.776+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119628300.parquet -> @customers stage
[2026-07-04T14:34:59.183+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119731265.parquet -> @customers stage
[2026-07-04T14:34:59.593+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119816203.parquet -> @customers stage
[2026-07-04T14:35:00.007+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190119905698.parquet -> @customers stage
[2026-07-04T14:35:00.414+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120040271.parquet -> @customers stage
[2026-07-04T14:35:00.762+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120132786.parquet -> @customers stage
[2026-07-04T14:35:01.131+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120201937.parquet -> @customers stage
[2026-07-04T14:35:01.539+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120279098.parquet -> @customers stage
[2026-07-04T14:35:01.956+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120349697.parquet -> @customers stage
[2026-07-04T14:35:02.338+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120432051.parquet -> @customers stage
[2026-07-04T14:35:02.725+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120568706.parquet -> @customers stage
[2026-07-04T14:35:03.181+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120649298.parquet -> @customers stage
[2026-07-04T14:35:03.589+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120717788.parquet -> @customers stage
[2026-07-04T14:35:04.000+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120785337.parquet -> @customers stage
[2026-07-04T14:35:04.410+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120832918.parquet -> @customers stage
[2026-07-04T14:35:04.819+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120902521.parquet -> @customers stage
[2026-07-04T14:35:05.229+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190120964409.parquet -> @customers stage
[2026-07-04T14:35:05.638+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121020503.parquet -> @customers stage
[2026-07-04T14:35:05.998+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121089337.parquet -> @customers stage
[2026-07-04T14:35:06.456+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121147140.parquet -> @customers stage
[2026-07-04T14:35:06.884+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121236766.parquet -> @customers stage
[2026-07-04T14:35:07.275+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121314374.parquet -> @customers stage
[2026-07-04T14:35:07.687+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121389208.parquet -> @customers stage
[2026-07-04T14:35:08.046+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121470589.parquet -> @customers stage
[2026-07-04T14:35:08.500+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121557173.parquet -> @customers stage
[2026-07-04T14:35:08.912+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121635672.parquet -> @customers stage
[2026-07-04T14:35:09.326+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121708765.parquet -> @customers stage
[2026-07-04T14:35:09.730+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121774496.parquet -> @customers stage
[2026-07-04T14:35:10.139+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121828872.parquet -> @customers stage
[2026-07-04T14:35:10.503+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121884665.parquet -> @customers stage
[2026-07-04T14:35:10.910+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121936133.parquet -> @customers stage
[2026-07-04T14:35:11.367+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190121986968.parquet -> @customers stage
[2026-07-04T14:35:11.740+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122038502.parquet -> @customers stage
[2026-07-04T14:35:12.187+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122087552.parquet -> @customers stage
[2026-07-04T14:35:12.552+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122199861.parquet -> @customers stage
[2026-07-04T14:35:13.007+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122288107.parquet -> @customers stage
[2026-07-04T14:35:13.417+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122362702.parquet -> @customers stage
[2026-07-04T14:35:13.826+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122426397.parquet -> @customers stage
[2026-07-04T14:35:14.240+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122496594.parquet -> @customers stage
[2026-07-04T14:35:14.647+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122575921.parquet -> @customers stage
[2026-07-04T14:35:15.056+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122666732.parquet -> @customers stage
[2026-07-04T14:35:15.469+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122744017.parquet -> @customers stage
[2026-07-04T14:35:15.976+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122803790.parquet -> @customers stage
[2026-07-04T14:35:16.340+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122866720.parquet -> @customers stage
[2026-07-04T14:35:16.796+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122917755.parquet -> @customers stage
[2026-07-04T14:35:17.207+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190122965839.parquet -> @customers stage
[2026-07-04T14:35:17.718+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123017563.parquet -> @customers stage
[2026-07-04T14:35:18.233+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123087773.parquet -> @customers stage
[2026-07-04T14:35:18.643+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123155911.parquet -> @customers stage
[2026-07-04T14:35:19.051+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123225422.parquet -> @customers stage
[2026-07-04T14:35:19.458+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123295060.parquet -> @customers stage
[2026-07-04T14:35:19.870+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123375883.parquet -> @customers stage
[2026-07-04T14:35:20.483+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123461445.parquet -> @customers stage
[2026-07-04T14:35:20.892+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123549403.parquet -> @customers stage
[2026-07-04T14:35:21.303+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123629735.parquet -> @customers stage
[2026-07-04T14:35:21.711+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123712537.parquet -> @customers stage
[2026-07-04T14:35:22.122+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123785855.parquet -> @customers stage
[2026-07-04T14:35:22.534+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123852768.parquet -> @customers stage
[2026-07-04T14:35:22.941+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190123936501.parquet -> @customers stage
[2026-07-04T14:35:23.454+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124033849.parquet -> @customers stage
[2026-07-04T14:35:23.862+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124166322.parquet -> @customers stage
[2026-07-04T14:35:24.276+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124239295.parquet -> @customers stage
[2026-07-04T14:35:24.687+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124308641.parquet -> @customers stage
[2026-07-04T14:35:25.092+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124367126.parquet -> @customers stage
[2026-07-04T14:35:25.505+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124438120.parquet -> @customers stage
[2026-07-04T14:35:25.912+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124506813.parquet -> @customers stage
[2026-07-04T14:35:26.273+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124577918.parquet -> @customers stage
[2026-07-04T14:35:26.735+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124645052.parquet -> @customers stage
[2026-07-04T14:35:27.101+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124698144.parquet -> @customers stage
[2026-07-04T14:35:27.549+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124750698.parquet -> @customers stage
[2026-07-04T14:35:27.924+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124860523.parquet -> @customers stage
[2026-07-04T14:35:28.331+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190124942262.parquet -> @customers stage
[2026-07-04T14:35:28.788+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125013131.parquet -> @customers stage
[2026-07-04T14:35:29.247+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125105286.parquet -> @customers stage
[2026-07-04T14:35:29.668+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125202440.parquet -> @customers stage
[2026-07-04T14:35:30.020+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125298099.parquet -> @customers stage
[2026-07-04T14:35:30.521+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125375584.parquet -> @customers stage
[2026-07-04T14:35:30.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125437993.parquet -> @customers stage
[2026-07-04T14:35:31.338+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125502586.parquet -> @customers stage
[2026-07-04T14:35:31.745+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125580897.parquet -> @customers stage
[2026-07-04T14:35:32.102+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125642474.parquet -> @customers stage
[2026-07-04T14:35:32.522+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125701048.parquet -> @customers stage
[2026-07-04T14:35:32.979+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125761080.parquet -> @customers stage
[2026-07-04T14:35:33.391+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125833530.parquet -> @customers stage
[2026-07-04T14:35:33.902+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125898658.parquet -> @customers stage
[2026-07-04T14:35:34.311+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190125975991.parquet -> @customers stage
[2026-07-04T14:35:34.677+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126066822.parquet -> @customers stage
[2026-07-04T14:35:35.129+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126198505.parquet -> @customers stage
[2026-07-04T14:35:35.546+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126301475.parquet -> @customers stage
[2026-07-04T14:35:35.952+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126398593.parquet -> @customers stage
[2026-07-04T14:35:36.463+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126533501.parquet -> @customers stage
[2026-07-04T14:35:36.867+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126611796.parquet -> @customers stage
[2026-07-04T14:35:37.283+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126673708.parquet -> @customers stage
[2026-07-04T14:35:37.735+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126725267.parquet -> @customers stage
[2026-07-04T14:35:38.168+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126787313.parquet -> @customers stage
[2026-07-04T14:35:38.609+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126855392.parquet -> @customers stage
[2026-07-04T14:35:39.016+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126906171.parquet -> @customers stage
[2026-07-04T14:35:39.424+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190126961049.parquet -> @customers stage
[2026-07-04T14:35:39.836+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127014299.parquet -> @customers stage
[2026-07-04T14:35:40.252+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127077863.parquet -> @customers stage
[2026-07-04T14:35:40.654+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127230270.parquet -> @customers stage
[2026-07-04T14:35:41.070+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127379217.parquet -> @customers stage
[2026-07-04T14:35:41.475+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127480731.parquet -> @customers stage
[2026-07-04T14:35:41.833+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127588343.parquet -> @customers stage
[2026-07-04T14:35:42.272+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127655023.parquet -> @customers stage
[2026-07-04T14:35:42.651+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127718661.parquet -> @customers stage
[2026-07-04T14:35:43.115+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127807503.parquet -> @customers stage
[2026-07-04T14:35:43.523+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127875342.parquet -> @customers stage
[2026-07-04T14:35:43.933+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127934037.parquet -> @customers stage
[2026-07-04T14:35:44.349+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190127986063.parquet -> @customers stage
[2026-07-04T14:35:44.854+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128037403.parquet -> @customers stage
[2026-07-04T14:35:45.262+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128094155.parquet -> @customers stage
[2026-07-04T14:35:45.671+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128153350.parquet -> @customers stage
[2026-07-04T14:35:46.041+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128208574.parquet -> @customers stage
[2026-07-04T14:35:46.387+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128269321.parquet -> @customers stage
[2026-07-04T14:35:46.747+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128431709.parquet -> @customers stage
[2026-07-04T14:35:47.108+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128531915.parquet -> @customers stage
[2026-07-04T14:35:47.489+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128627723.parquet -> @customers stage
[2026-07-04T14:35:47.926+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128728340.parquet -> @customers stage
[2026-07-04T14:35:48.335+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128798458.parquet -> @customers stage
[2026-07-04T14:35:48.749+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128859676.parquet -> @customers stage
[2026-07-04T14:35:49.158+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190128933072.parquet -> @customers stage
[2026-07-04T14:35:49.683+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129009410.parquet -> @customers stage
[2026-07-04T14:35:50.077+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129066318.parquet -> @customers stage
[2026-07-04T14:35:50.486+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129134200.parquet -> @customers stage
[2026-07-04T14:35:50.900+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129228717.parquet -> @customers stage
[2026-07-04T14:35:51.303+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129346180.parquet -> @customers stage
[2026-07-04T14:35:51.716+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129451553.parquet -> @customers stage
[2026-07-04T14:35:52.127+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129526392.parquet -> @customers stage
[2026-07-04T14:35:52.535+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129605212.parquet -> @customers stage
[2026-07-04T14:35:52.896+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129695196.parquet -> @customers stage
[2026-07-04T14:35:53.359+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129776918.parquet -> @customers stage
[2026-07-04T14:35:53.871+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129832175.parquet -> @customers stage
[2026-07-04T14:35:54.260+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129890474.parquet -> @customers stage
[2026-07-04T14:35:54.695+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190129953507.parquet -> @customers stage
[2026-07-04T14:35:55.094+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130013760.parquet -> @customers stage
[2026-07-04T14:35:55.494+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130073802.parquet -> @customers stage
[2026-07-04T14:35:55.874+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130138955.parquet -> @customers stage
[2026-07-04T14:35:56.233+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130228190.parquet -> @customers stage
[2026-07-04T14:35:56.679+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130320235.parquet -> @customers stage
[2026-07-04T14:35:57.094+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130463414.parquet -> @customers stage
[2026-07-04T14:35:57.559+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130642884.parquet -> @customers stage
[2026-07-04T14:35:57.964+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130717184.parquet -> @customers stage
[2026-07-04T14:35:58.374+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130808820.parquet -> @customers stage
[2026-07-04T14:35:58.793+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190130916199.parquet -> @customers stage
[2026-07-04T14:35:59.156+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131003963.parquet -> @customers stage
[2026-07-04T14:35:59.602+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131072490.parquet -> @customers stage
[2026-07-04T14:35:59.973+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131132290.parquet -> @customers stage
[2026-07-04T14:36:00.355+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131197231.parquet -> @customers stage
[2026-07-04T14:36:00.728+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131284048.parquet -> @customers stage
[2026-07-04T14:36:01.084+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131351632.parquet -> @customers stage
[2026-07-04T14:36:01.546+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131412820.parquet -> @customers stage
[2026-07-04T14:36:01.955+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131477522.parquet -> @customers stage
[2026-07-04T14:36:02.304+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131556821.parquet -> @customers stage
[2026-07-04T14:36:02.678+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131630829.parquet -> @customers stage
[2026-07-04T14:36:03.084+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131759153.parquet -> @customers stage
[2026-07-04T14:36:03.494+0000] {logging_mixin.py:188} INFO - Uploaded /tmp/minio_downloads/customers_190131874052.parquet -> @customers stage
